对于常量，特征值为常量值，对于函数，特征值为参数个数，对于数组，特征值为数组长度
序号		名称		行数		种类		类型		特征值		地址		寄存器		
0		num		21		参数		int		-1		0		$t2		
1		$t0		25		简单		int		-1		1		$t0		
2		$t1		25		简单		int		-1		2		$t1		
3		$t2		25		简单		int		-1		3		$t0		
4		$t3		25		简单		int		-1		4		$t0		
该函数表打印完毕
0		num		29		简单		int		-1		0		$t0		
1		$t4		31		简单		int		-1		1		$t0		
该函数表打印完毕
0		_simple_int_num		35		参数		int		-1		0		$t4		
1		_int_temp		37		简单		int		-1		1		$t3		
2		fib1		37		简单		int		-1		2		$t2		
3		fib2		37		简单		int		-1		3		$t1		
4		_array_int_fibarray_temp		38		数组		int		50		4		无		
5		$t5		39		简单		int		-1		54		$t0		
6		$t6		41		简单		int		-1		55		$t1		
7		$t7		41		简单		int		-1		56		$t0		
8		$t8		43		简单		int		-1		57		$t0		
9		$t9		43		简单		int		-1		58		$t0		
10		$t10		46		简单		int		-1		59		$t0		
11		$t11		46		简单		int		-1		60		$t0		
12		$t12		48		简单		int		-1		61		$t0		
13		$t13		48		简单		int		-1		62		$t0		
14		$t14		49		简单		int		-1		63		$t0		
15		$t15		54		简单		int		-1		64		$t2		
16		$t16		54		简单		int		-1		65		$t1		
17		$t17		54		简单		int		-1		66		$t0		
18		$t18		58		简单		int		-1		67		$t4		
19		$t19		58		简单		int		-1		68		$t3		
20		$t20		58		简单		int		-1		69		$t2		
21		$t21		58		简单		int		-1		70		$t1		
22		$t22		58		简单		int		-1		71		$t0		
23		$t23		63		简单		int		-1		72		$t3		
24		$t24		63		简单		int		-1		73		$t2		
25		$t25		63		简单		int		-1		74		$t1		
26		$t26		63		简单		int		-1		75		$t0		
该函数表打印完毕
0		_int_i		72		简单		int		-1		0		$t2		
1		$t27		78		简单		int		-1		1		$t1		
2		$t28		80		简单		int		-1		2		$t0		
3		$t29		95		简单		int		-1		3		$t0		
4		$t30		95		简单		int		-1		4		$t1		
5		$t31		95		简单		int		-1		5		$t0		
6		$t32		95		简单		int		-1		6		$t0		
7		$t33		97		简单		int		-1		7		$t1		
8		$t34		98		简单		int		-1		8		$t0		
9		$t35		112		简单		int		-1		9		$t0		
该函数表打印完毕
0		A		119		简单		int		-1		0		$t1		
1		$t36		122		简单		int		-1		1		$t0		
2		$t37		127		简单		int		-1		2		$t0		
3		$t38		128		简单		int		-1		3		$t0		
该函数表打印完毕
0		head		133		参数		int		-1		0		$s1		
1		tail		133		参数		int		-1		1		$s0		
2		a		134		简单		int		-1		2		$t6		
3		b		134		简单		int		-1		3		$t5		
4		tmp		134		简单		int		-1		4		$t4		
5		$t39		138		简单		int		-1		5		$t0		
6		$t40		141		简单		int		-1		6		$t1		
7		$t41		141		简单		int		-1		7		$t0		
8		$t42		142		简单		int		-1		8		$t0		
9		$t43		143		简单		int		-1		9		$t3		
10		$t44		145		简单		int		-1		10		$t0		
11		$t45		146		简单		int		-1		11		$t2		
12		$t46		146		简单		int		-1		12		$t1		
13		$t47		147		简单		int		-1		13		$t0		
14		$t48		148		简单		int		-1		14		$t0		
15		$t49		149		简单		int		-1		15		$t0		
16		$t50		151		简单		int		-1		16		$t0		
17		$t51		153		简单		int		-1		17		$t0		
18		$t52		154		简单		int		-1		18		$t0		
该函数表打印完毕
该函数表打印完毕
该函数表打印完毕
该函数表打印完毕
0		i		171		简单		int		-1		0		$t2		
1		return1		172		简单		int		-1		1		$t0		
2		$t53		178		简单		int		-1		2		$t1		
3		$t54		178		简单		int		-1		3		$t0		
4		$t55		184		简单		int		-1		4		$t0		
5		$t56		184		简单		int		-1		5		$t1		
6		$t57		184		简单		int		-1		6		$t0		
7		$t58		187		简单		int		-1		7		$t0		
8		$t59		188		简单		int		-1		8		$t0		
9		$t60		194		简单		int		-1		9		$t0		
10		$t61		194		简单		int		-1		10		$t2		
11		$t62		194		简单		int		-1		11		$t1		
12		$t63		194		简单		int		-1		12		$t0		
该函数表打印完毕
该函数表打印完毕
该函数表打印完毕
该函数表打印完毕
0		c		215		参数		char		-1		0		$t0		
该函数表打印完毕
0		i		221		简单		int		-1		0		$t2		
1		$t64		228		简单		int		-1		1		$t0		
2		$t65		245		简单		int		-1		2		$t1		
3		$t66		248		简单		int		-1		3		$t0		
4		$t67		248		简单		int		-1		4		$t0		
5		$t68		251		简单		int		-1		5		$t2		
6		$t69		276		简单		int		-1		6		$t1		
7		$t70		279		简单		int		-1		7		$t0		
8		$t71		282		简单		int		-1		8		$t0		
9		$t72		285		简单		int		-1		9		$t0		
10		$t73		288		简单		int		-1		10		$t1		
11		$t74		294		简单		int		-1		11		$t0		
12		$t75		297		简单		int		-1		12		$t3		
13		$t76		301		简单		int		-1		13		$t2		
14		$t77		304		简单		int		-1		14		$t1		
15		$t78		307		简单		int		-1		15		$t0		
16		$t79		310		简单		int		-1		16		$t0		
17		$t80		316		简单		int		-1		17		$t1		
18		$t81		319		简单		int		-1		18		$t0		
19		$t82		322		简单		int		-1		19		$t2		
20		$t83		325		简单		int		-1		20		$t1		
21		$t84		328		简单		int		-1		21		$t0		
22		$t85		328		简单		int		-1		22		$t3		
23		$t86		328		简单		int		-1		23		$t0		
24		$t87		328		简单		int		-1		24		$t0		
25		$t88		331		简单		int		-1		25		$t2		
26		$t89		331		简单		int		-1		26		$t1		
27		$t90		334		简单		int		-1		27		$t0		
28		$t91		334		简单		int		-1		28		$t1		
